filename,date,time,DOY,used_records,mean(u),mean(v),mean(w),mean(ts),mean(co2),mean(h2o),mean(ch4),mean(none),mean(tc),mean(pc),mean(te),mean(pe),WindDirection,var(u),var(v),var(w),var(ts),var(co2),var(h2o),var(ch4),var(none),var(tc),var(pc),var(te),var(pe),cov(u/v),cov(u/w),cov(u/ts),cov(u/co2),cov(u/h2o),cov(u/ch4),cov(u/none),cov(v/w),cov(v/ts),cov(v/co2),cov(v/h2o),cov(v/ch4),cov(v/none),cov(w/ts),cov(w/co2),cov(w/h2o),cov(w/ch4),cov(w/none),cov(w/tc),cov(w/pc),cov(w/te),cov(w/pe),st_dev(u),st_dev(v),st_dev(w),st_dev(ts),st_dev(co2),st_dev(h2o),st_dev(ch4),st_dev(none),st_dev(tc),st_dev(pc),st_dev(te),st_dev(pe),skw(u),skw(v),skw(w),skw(ts),skw(co2),skw(h2o),skw(ch4),skw(none),skw(tc),skw(pc),skw(te),skw(pe),kur(u),kur(v),kur(w),kur(ts),kur(co2),kur(h2o),kur(ch4),kur(none),kur(tc),kur(pc),kur(te),kur(pe),TAU_SS_TEST,H_SS_TEST,FC_SS_TEST,FH2O_SS_TEST,FCH4_SS_TEST,U_ITC_TEST,W_ITC_TEST,T_SONIC_ITC_TEST
ts2015-05-15_0000.csv,2015-05-15,00:30,135.0208,36000.0,1.44286,4.27115e-14,-2.4878e-15,296.298,16.9414,965.975,-9999,-9999,-9999,-9999,-9999,-9999,121.925,0.0740043,0.0698835,0.00970425,0.0358109,0.019589,14.2806,-9999,-9999,-9999,-9999,-9999,-9999,0.0278882,-0.00562049,0.0226876,-0.0198669,0.264105,-9999,-9999,0.00148391,-0.0153501,0.00612454,0.426501,-9999,-9999,-0.00463919,0.00325022,0.0895812,-9999,-9999,-9999,-9999,-9999,-9999,0.272037,0.264355,0.0985102,0.189238,0.139961,3.77897,-9999,-9999,-9999,-9999,-9999,-9999,-0.123344,0.0293133,0.122627,0.67764,-0.187099,-0.0385214,-9999,-9999,-9999,-9999,-9999,-9999,2.41375,2.15689,3.65797,3.45565,3.0097,2.55536,-9999,-9999,-9999,-9999,-9999,-9999,1.0,1.0,1.0,1.0,-9999,2.0,2.0,2.0
ts2015-05-15_0030.csv,2015-05-15,01:00,135.0416,36000.0,1.53972,7.10795e-14,-1.45024e-15,296.061,17.0774,957.604,-9999,-9999,-9999,-9999,-9999,-9999,115.543,0.111762,0.104616,0.0104673,0.03255,0.0299688,12.3272,-9999,-9999,-9999,-9999,-9999,-9999,0.0634828,-0.00561479,0.00234859,-0.029545,-0.686941,-9999,-9999,0.00289502,-0.0188836,-0.0273063,-0.574166,-9999,-9999,-0.00611988,0.00350348,0.0488226,-9999,-9999,-9999,-9999,-9999,-9999,0.334308,0.323444,0.10231,0.180416,0.173115,3.51101,-9999,-9999,-9999,-9999,-9999,-9999,0.18878,-0.251209,0.125385,0.139899,0.0800052,0.14091,-9999,-9999,-9999,-9999,-9999,-9999,2.69889,1.85386,4.27521,3.36682,2.73147,2.61168,-9999,-9999,-9999,-9999,-9999,-9999,1.0,1.0,1.0,2.0,-9999,2.0,2.0,3.0
ts2015-05-15_0100.csv,2015-05-15,01:30,135.0624,36000.0,1.54012,-1.96659e-14,-3.49053e-15,295.97,16.8873,957.511,-9999,-9999,-9999,-9999,-9999,-9999,119.949,0.0479162,0.126251,0.012942,0.0298048,0.0123526,6.51887,-9999,-9999,-9999,-9999,-9999,-9999,0.0125162,-0.00714842,0.0235415,-0.0132177,-0.0861551,-9999,-9999,0.00114121,-0.00780628,0.00977748,0.649441,-9999,-9999,-0.00497587,0.0037763,0.0527827,-9999,-9999,-9999,-9999,-9999,-9999,0.218898,0.355318,0.113763,0.172641,0.111142,2.55321,-9999,-9999,-9999,-9999,-9999,-9999,0.175557,-0.362593,0.107128,0.577903,-0.148854,-0.718818,-9999,-9999,-9999,-9999,-9999,-9999,3.09546,2.23867,3.68736,3.46828,3.14914,2.99901,-9999,-9999,-9999,-9999,-9999,-9999,1.0,1.0,1.0,1.0,-9999,2.0,2.0,3.0
ts2015-05-15_0130.csv,2015-05-15,02:00,135.0833,36000.0,1.23868,8.38017e-14,4.73598e-15,295.683,16.9525,961.815,-9999,-9999,-9999,-9999,-9999,-9999,129.843,0.131367,0.0725062,0.0100881,0.0317809,0.0247424,13.7451,-9999,-9999,-9999,-9999,-9999,-9999,0.0463236,-0.00497838,0.0372835,-0.0404874,-1.0173,-9999,-9999,0.00121524,-0.00514752,-0.0159558,-0.299291,-9999,-9999,-0.00369943,0.00303425,0.0146206,-9999,-9999,-9999,-9999,-9999,-9999,0.362445,0.26927,0.10044,0.178272,0.157297,3.70744,-9999,-9999,-9999,-9999,-9999,-9999,0.096353,0.127478,0.157286,0.559456,0.722516,-1.01057,-9999,-9999,-9999,-9999,-9999,-9999,2.36186,2.29861,4.25363,2.99317,3.66597,2.83857,-9999,-9999,-9999,-9999,-9999,-9999,1.0,1.0,1.0,6.0,-9999,2.0,2.0,5.0
ts2015-05-15_0200.csv,2015-05-15,02:30,135.1041,36000.0,1.47846,1.60584e-13,2.37892e-15,295.713,16.8605,961.796,-9999,-9999,-9999,-9999,-9999,-9999,125.867,0.0754596,0.0655518,0.0131525,0.013915,0.0144859,5.2388,-9999,-9999,-9999,-9999,-9999,-9999,0.0239979,-0.00722899,0.013456,-0.0224481,-0.456549,-9999,-9999,0.00228858,-0.00630414,-0.011651,-0.340423,-9999,-9999,-0.00478862,0.00310021,0.0258864,-9999,-9999,-9999,-9999,-9999,-9999,0.274699,0.256031,0.114684,0.117962,0.120357,2.28884,-9999,-9999,-9999,-9999,-9999,-9999,0.823368,0.276588,-0.000488099,0.187393,-0.160926,-0.681818,-9999,-9999,-9999,-9999,-9999,-9999,3.98112,2.50905,4.21004,2.932,2.67232,2.58071,-9999,-9999,-9999,-9999,-9999,-9999,1.0,1.0,1.0,2.0,-9999,2.0,2.0,1.0
ts2015-05-15_0230.csv,2015-05-15,03:00,135.1249,36000.0,1.578,-3.20652e-14,1.27227e-15,295.401,16.8576,953.161,-9999,-9999,-9999,-9999,-9999,-9999,125.42,0.0768835,0.0404341,0.0125251,0.0234251,0.0157387,12.0103,-9999,-9999,-9999,-9999,-9999,-9999,0.0178734,-0.00744018,0.0126953,-0.019243,-0.554994,-9999,-9999,0.00175727,-0.00514955,0.000147457,-0.225461,-9999,-9999,-0.00465717,0.00328174,0.0213932,-9999,-9999,-9999,-9999,-9999,-9999,0.277279,0.201082,0.111916,0.153052,0.125454,3.46559,-9999,-9999,-9999,-9999,-9999,-9999,0.52863,0.125587,0.114408,0.242093,0.251209,0.113546,-9999,-9999,-9999,-9999,-9999,-9999,3.12818,3.16243,4.0748,2.71185,2.65944,1.68597,-9999,-9999,-9999,-9999,-9999,-9999,1.0,1.0,1.0,3.0,-9999,2.0,2.0,2.0
ts2015-05-15_0300.csv,2015-05-15,03:30,135.1458,36000.0,1.68766,-1.01822e-14,2.75267e-15,295.377,16.7022,944.51,-9999,-9999,-9999,-9999,-9999,-9999,136.872,0.0704829,0.052375,0.019589,0.0169604,0.00596373,5.009,-9999,-9999,-9999,-9999,-9999,-9999,0.000276223,-0.0118159,0.0167967,-0.00993917,0.0687353,-9999,-9999,0.00302106,-0.00413577,0.00240038,0.101515,-9999,-9999,-0.00720324,0.0039837,0.0358522,-9999,-9999,-9999,-9999,-9999,-9999,0.265486,0.228856,0.139961,0.130232,0.0772252,2.23808,-9999,-9999,-9999,-9999,-9999,-9999,0.310566,-0.0479033,0.00272213,0.385782,-0.138376,0.119395,-9999,-9999,-9999,-9999,-9999,-9999,3.24273,3.24989,3.74345,3.31483,2.99393,2.84018,-9999,-9999,-9999,-9999,-9999,-9999,1.0,1.0,1.0,2.0,-9999,2.0,2.0,1.0
ts2015-05-15_0330.csv,2015-05-15,04:00,135.1666,36000.0,1.54969,-6.61704e-14,3.16696e-15,295.454,16.639,942.333,-9999,-9999,-9999,-9999,-9999,-9999,137.346,0.077015,0.0770492,0.0211283,0.058079,0.0107014,0.477686,-9999,-9999,-9999,-9999,-9999,-9999,5.939e-05,-0.0125413,0.0271837,-0.014436,-0.0649492,-9999,-9999,0.00167803,-0.0226568,0.00693738,0.021785,-9999,-9999,-0.00509167,0.00295533,0.0128574,-9999,-9999,-9999,-9999,-9999,-9999,0.277516,0.277577,0.145356,0.240996,0.103448,0.691148,-9999,-9999,-9999,-9999,-9999,-9999,0.26238,-0.343622,-0.0450325,0.455953,-0.41848,-0.975511,-9999,-9999,-9999,-9999,-9999,-9999,3.47598,3.64224,4.45468,3.32851,3.24068,7.09757,-9999,-9999,-9999,-9999,-9999,-9999,1.0,3.0,2.0,2.0,-9999,2.0,2.0,6.0
ts2015-05-15_0400.csv,2015-05-15,04:30,135.1874,36000.0,1.94992,5.58453e-14,6.69037e-15,295.195,16.6995,941.433,-9999,-9999,-9999,-9999,-9999,-9999,140.415,0.163715,0.159183,0.0262749,0.0656456,0.0111122,1.03207,-9999,-9999,-9999,-9999,-9999,-9999,-0.0381554,-0.0145362,0.0698043,-0.028744,0.156568,-9999,-9999,0.00314238,-0.0581185,0.0207055,-0.259869,-9999,-9999,-0.00863591,0.00413143,-0.000935998,-9999,-9999,-9999,-9999,-9999,-9999,0.404617,0.398977,0.162095,0.256214,0.105415,1.01591,-9999,-9999,-9999,-9999,-9999,-9999,0.480722,-0.953586,0.136064,0.659623,-0.323541,1.16281,-9999,-9999,-9999,-9999,-9999,-9999,2.97646,3.6536,4.44721,2.74091,2.66548,3.57509,-9999,-9999,-9999,-9999,-9999,-9999,1.0,1.0,1.0,5.0,-9999,1.0,1.0,1.0
ts2015-05-15_0430.csv,2015-05-15,05:00,135.2083,36000.0,2.63135,1.95877e-13,-2.10524e-15,295.579,16.5493,945.557,-9999,-9999,-9999,-9999,-9999,-9999,154.965,0.256626,0.286623,0.049732,0.0455289,0.00681394,1.17591,-9999,-9999,-9999,-9999,-9999,-9999,0.0534179,-0.0332136,0.0746841,-0.0292756,-0.249621,-9999,-9999,0.00171776,0.0340243,-0.014742,-0.218182,-9999,-9999,-0.0118821,0.00438996,0.0348163,-9999,-9999,-9999,-9999,-9999,-9999,0.506583,0.535372,0.223007,0.213375,0.0825466,1.08439,-9999,-9999,-9999,-9999,-9999,-9999,0.381831,0.358579,0.00986546,0.065796,0.110309,-0.609014,-9999,-9999,-9999,-9999,-9999,-9999,3.06959,3.19937,3.93887,3.0651,2.94401,3.46164,-9999,-9999,-9999,-9999,-9999,-9999,1.0,1.0,1.0,1.0,-9999,2.0,2.0,1.0
